Site,Ecological_metric,Taxon,RR,Study,Reference
100,richness,Birds,-0.117363661,107,Yap_et_al_2007
100,richness,Birds,-0.070802827,107,Yap_et_al_2007
100,richness,Birds,-0.127217797,107,Yap_et_al_2007
100,richness,Birds,-0.074502527,107,Yap_et_al_2007
100,abundance,Plant,0.082684239,107,Yap_et_al_2007
102,richness,Invertebrates,0.101096117,120,Lawton_et_al_1998
102,richness,Invertebrates,0.040273899,120,Lawton_et_al_1998
102,richness,Invertebrates,0.510825624,120,Lawton_et_al_1998
102,richness,Birds,0,120,Lawton_et_al_1998
134,richness,Mammals,0.030636969,18,Clarke_et_al_2005
134,abundance,Mammals,0.54612030600000006,18,Clarke_et_al_2005
134,abundance,Mammals,0.25261872,18,Clarke_et_al_2005
134,diversity,Mammals,-0.101115667,18,Clarke_et_al_2005
134,abundance,Mammals,-0.491120553,18,Clarke_et_al_2005
134,abundance,Mammals,-1.053491853,18,Clarke_et_al_2005
134,abundance,Mammals,0.858661619,18,Clarke_et_al_2005
134,abundance,Mammals,-1.462834438,18,Clarke_et_al_2005
134,abundance,Mammals,0.064538521,18,Clarke_et_al_2005
134,abundance,Mammals,-1.609437912,18,Clarke_et_al_2005
134,abundance,Mammals,0.374693449,18,Clarke_et_al_2005
134,abundance,Mammals,0.287682072,18,Clarke_et_al_2005
134,abundance,Mammals,-0.230416311,18,Clarke_et_al_2005
137,abundance,Birds,-0.230580553,190,Blake_&_Loiselle_2001
137,abundance,Birds,-1.129349425,190,Blake_&_Loiselle_2001
137,richness,Birds,0.227624,190,Blake_&_Loiselle_2001
137,richness,Birds,-0.137470991,190,Blake_&_Loiselle_2001
137,abundance,Herpetofauna,0.955511445,190,Blake_&_Loiselle_2001
137,abundance,Herpetofauna,0.667829373,190,Blake_&_Loiselle_2001
137,richness,Herpetofauna,-0.241162057,190,Blake_&_Loiselle_2001
137,richness,Herpetofauna,-0.336472237,190,Blake_&_Loiselle_2001
137,richness,Herpetofauna,0.287682072,190,Blake_&_Loiselle_2001
137,richness,Herpetofauna,0.15415068,190,Blake_&_Loiselle_2001
137,diversity,Herpetofauna,-0.52639014,190,Blake_&_Loiselle_2001
