"Reference","Taxon","Ecological_metric","Study_year","Time_restored","RR"
"Aerts_et_al_2008","Birds","Richness",2003,10,"-0.441674712"
"Aerts_et_al_2008","Birds","Similarity",2003,10,"-0.167321716"
"Aerts_et_al_2008","Birds","Similarity",2003,10,"-0.216685733"
"Blake_&_Loiselle_2001","Birds","Abundance",1994,85,"-0.230580553"
"Blake_&_Loiselle_2001","Birds","Abundance",1994,35,"-1.129349425"
"Blake_&_Loiselle_2001","Birds","Richness",1994,85,"0.227624"
"Blake_&_Loiselle_2001","Birds","Richness",1994,35,"-0.137470991"
"Blake_&_Loiselle_2001","Birds","Similarity",1994,35,"0.309004842"
"Blake_&_Loiselle_2001","Birds","Similarity",1994,35,"-0.228841572"
"Blake_&_Loiselle_2001","Birds","Similarity",1994,85,"-0.480972661"
"Blake_&_Loiselle_2001","Birds","Similarity",1994,85,"-0.075169543"
"Bowman_et_al_1990","Birds","Richness",1987,26,"0.510825624"
"Bowman_et_al_1990","Birds","Richness",1987,26,"0.510825624"
"Bowman_et_al_1990","Birds","Richness",1987,8,"-0.310154928"
"Bowman_et_al_1990","Birds","Richness",1987,8,"-0.310154928"
"Bowman_et_al_1990","Birds","Richness",1987,4,"-0.405465108"
"Bowman_et_al_1990","Birds","Richness",1987,4,"-0.405465108"
"Bowman_et_al_1990","Herpetofauna","Abundance",1987,8,"-0.025975486"
"Bowman_et_al_1990","Herpetofauna","Abundance",1987,8,"-0.025975486"
"Bowman_et_al_1990","Herpetofauna","Abundance",1987,4,"-0.080042708"
"Bowman_et_al_1990","Herpetofauna","Abundance",1987,4,"-0.080042708"
"Bowman_et_al_1990","Herpetofauna","Abundance",1987,26,"-0.080042708"
"Bowman_et_al_1990","Herpetofauna","Abundance",1987,26,"-0.080042708"
"Bowman_et_al_1990","Herpetofauna","Richness",1987,26,0
"Bowman_et_al_1990","Herpetofauna","Richness",1987,26,0
"Bowman_et_al_1990","Herpetofauna","Richness",1987,8,"-0.080042708"
"Bowman_et_al_1990","Herpetofauna","Richness",1987,8,"-0.080042708"
"Bowman_et_al_1990","Herpetofauna","Richness",1987,4,"-0.262364264"
"Bowman_et_al_1990","Herpetofauna","Richness",1987,4,"-0.262364264"
"Bowman_et_al_1990","Invertebrates","Abundance",1987,8,"-0.39834764"
"Bowman_et_al_1990","Invertebrates","Abundance",1987,8,"-0.39834764"
